State Date       Time   Providers Details
VA    2022-05-11 06-51  -12       ['VA,Annandale,22003,Walgreens Store #13970', 'VA,Danville,24540,Genoa Healthcare Llc', 'VA,Danville,24540,Walmart Pharmacy #5829', 'VA,Falls Church,22041,Walgreens Store #18162', 'VA,Leesburg,20175,Walgreens Store #10690', 'VA,Lynchburg,24501,Centra Health Pearson Cancer Center', 'VA,Manassas,20109,Walgreens Store #11234', 'VA,Portsmouth,23708,Nmcp Portsmouth', 'VA,Richmond,23226,Cvs Store #01975', 'VA,Richmond,23228,Walgreens Store #18124', 'VA,Rockingham,22801,Walmart Pharmacy #7177', 'VA,Woodbridge,22191,Walgreens Store #13790']
VA    2022-05-12 07-16  +42       ['VA,Ashland,23005,Remedi Seniorcare Of Virginia Llc', 'VA,Bowling Green,22427,Walgreens Store #18200', 'VA,Chesapeake,23323,Cvs Store #10013', 'VA,Chesapeake,23323,Walgreens Store #09196', 'VA,Christiansburg,24073,Walgreens Store #07606', 'VA,Coeburn,24230,Walgreens Store #17546', 'VA,Colonial Beach,22443,Walgreens Store #18193', 'VA,Culpeper,22701,Walgreens Store #11675', 'VA,Danville,24541,Walgreens Store #15291', 'VA,Dublin,24084,Walgreens Store #11972', 'VA,Elkton,22827,Walgreens Store #17535', 'VA,Exmore,23350,Walgreens Store #18229', 'VA,Ferrum,24088,Tri-Area Community Health - Ferrum', 'VA,Fredericksburg,22405,Walgreens Store #15445', 'VA,Fredericksburg,22407,Walgreens Store #11571', 'VA,Fredericksburg,22407,Walgreens Store #18211', 'VA,Hampton,23666,Walgreens Store #05878', 'VA,Harrisonburg,22802,Walgreens Store #18425', 'VA,Hayes,23072,Walgreens Store #11298', 'VA,Herndon,20170,Prime Health', 'VA,Keysville,23947,Walgreens Store #17843', 'VA,Leesburg,20175,Walgreens Store #10690', 'VA,Lovingston,22949,Walgreens Store #17477', 'VA,Lynchburg,24501,Centra Health Pearson Cancer Center', 'VA,Lynchburg,24502,Walgreens Store #07115', 'VA,Lynchburg,24502,Walgreens Store #07619', 'VA,Manassas,20110,Walgreens Store #11912', 'VA,Marion,24354,Walgreens Store #10700', 'VA,Martinsville,24112,Walgreens Store #12495', 'VA,Midlothian,23112,Walgreens Store #06698', 'VA,Newport News,23605,Walgreens Store #05588', 'VA,Newport News,23608,Walgreens Store #10140', 'VA,Portsmouth,23707,Walgreens Store #04616', 'VA,Richmond,23223,Walgreens Store #04488', 'VA,Richmond,23226,Cvs Store #01975', 'VA,Roanoke,24012,Walgreens Store #05217', 'VA,Roanoke,24014,Carilion Roanoke Mem Hospital Op', 'VA,Stuarts Draft,24477,Walgreens Store #19660', 'VA,Suffolk,23434,Walgreens Store #15446', 'VA,Tappahannock,22560,Walgreens Store #19365', 'VA,Virginia Beach,23456,Walgreens Store #06740', 'VA,Williamsburg,23188,Rite Aid 11918']
VA    2022-05-12 07-16  -9        ['VA,Arlington,22201,Walgreens Store #13941', 'VA,Ashland,23005,Walgreens Store #17768', 'VA,Blacksburg,24060,Blacksburg Pharmacy', 'VA,Fairfax,22033,Inova Pharmacy Plus Ifoh', 'VA,Independence,24348,Food City Pharmacy', 'VA,Langley Afb,23665,633 Mdss/Sgsm', 'VA,Norfolk,23507,Hague Pharmacy At Chkd', 'VA,North Chesterfield,23234,Walgreens Store #03684', 'VA,Richmond,23233,Cvs Store #10990']
VA    2022-05-13 06-07  +20       ['VA,Abingdon,24210,Michaels Pharmacy', 'VA,Blacksburg,24060,Blacksburg Pharmacy', 'VA,Danville,24540,Walmart Pharmacy #5829', 'VA,Dumfries,22025,Dumfries Health Center, Pvi', 'VA,Fairfax,22033,Fairfax Health Center', 'VA,Fairfax,22033,Inova Pharmacy Plus Ifoh', 'VA,Fort Myer,22211,Andrew Rader U.S. Army Health Clini', 'VA,Gainesville,20155,Wegmans Food Markets Inc.', 'VA,Hampton,23666,Walgreens Store #04617', 'VA,Harrisonburg,22801,Hchc Stone Port', 'VA,Lawrenceville,23868,Rite Aid 11305', 'VA,Lebanon,24266,Walgreens Store #17362', 'VA,Monterey,24465,Letitia Amirault', 'VA,Newport News,23602,Walgreens Store #06923', 'VA,Richmond,23227,Omnicare Of Richmond #48370', 'VA,Richmond,23233,Walgreens Store #15344', 'VA,Rockingham,22801,Walmart Pharmacy #7177', 'VA,Saltville,24370,Walgreens Store #18213', 'VA,Virginia Beach,23456,Harris Teeter Pharmacy 09700419', 'VA,Yorktown,23693,Walgreens Store #10453']
VA    2022-05-13 06-07  -11       ['VA,Christiansburg,24073,Kroger Pharmacy 02900345', 'VA,Fairfax,22031,Inova Pharmacy Plus Isci', 'VA,Hampton,23666,Rite Aid 11290', 'VA,King George,22485,Cvs Store #00392', 'VA,Lynchburg,24501,Centra Health Pearson Cancer Center', 'VA,Lynchburg,24502,Walmart Pharmacy #1350', 'VA,Norfolk,23511,Military Sealift Support Command', 'VA,Richmond,23235,Buford Road Pharmacy', 'VA,Roanoke,24014,Carilion Roanoke Mem Hosp', 'VA,Stone Ridge,20105,Walgreens Store #09949', 'VA,Warrenton,20186,Walgreens Store #09383']
VA    2022-05-14 08-49  +11       ['VA,Alexandria,22306,Walgreens Store #10233', 'VA,Gate City,24251,Walgreens Store #15669', 'VA,Herndon,20171,Giant Food Store # 2746', 'VA,King George,22485,Cvs Store #00392', 'VA,Lynchburg,24502,Walmart Pharmacy #1350', 'VA,Lynchburg,24503,Walgreens Store #10691', 'VA,Mechanicsville,23116,Walgreens Store #12496', 'VA,North Dinwiddie,23803,Walgreens Store #10713', 'VA,Richmond,23233,Cvs Store #10990', 'VA,Richmond,23294,Cvs Store #01536', 'VA,Stephens City,22655,Walgreens Store #10394']
VA    2022-05-14 08-49  -8        ['VA,Baileys Crossroads,22041,Cvs Store #10320', 'VA,Ferrum,24088,Tri-Area Community Health - Ferrum', 'VA,Fredericksburg,22405,Cvs Store #01569', 'VA,Leesburg,20175,Walgreens Store #10690', 'VA,Pearisburg,24134,Walgreens Store #17869', 'VA,Richmond,23220,Cvs Store #01530', 'VA,Richmond,23223,Bon Secours Good Health Pharmacy At', 'VA,Virginia Beach,23451,Walgreens Store #15447']
VA    2022-05-15 05-54  -2        ['VA,Mclean,22101,Giant Food Store # 758', 'VA,Portsmouth,23703,Rite Aid 11297']
VA    2022-05-16 05-54  +1        ['VA,Hampton,23666,Rite Aid 11290']
VA    2022-05-16 05-54  -2        ['VA,Aylett,23009,Upper Mattaponi Tribe Of Virginia', 'VA,Dahlgren,22448,Nbhc Dahlgren Va']
VA    2022-05-17 05-27  +21       ['VA,Annandale,22003,Walgreens Store #13970', 'VA,Ashland,23005,Walgreens Store #17768', 'VA,Bealeton,22712,Walgreens Store #18298', 'VA,Callao,22435,Walgreens Store #18087', 'VA,Charlottesville,22911,Walgreens Store #17626', 'VA,Chesterfield,23832,Walgreens Store #13126', 'VA,Clifton Forge,24422,Kroger Pharmacy 02900118', 'VA,Collinsville,24078,Walgreens Store #12017', 'VA,Dumfries,22026,Walgreens Store #17858', 'VA,Falls Church,22041,Walgreens Store #18162', 'VA,Leesburg,20175,Walgreens Store #10690', 'VA,Manassas,20109,Walgreens Store #11234', 'VA,Norfolk,23518,Walgreens Store #04924', 'VA,North Chesterfield,23234,Walgreens Store #03684', 'VA,Pearisburg,24134,Walgreens Store #17869', 'VA,Richmond,23228,Walgreens Store #18124', 'VA,Staunton,24401,Walgreens Store #17607', 'VA,Stone Ridge,20105,Walgreens Store #09949', 'VA,Virginia Beach,23451,Walgreens Store #15447', 'VA,Woodbridge,22191,Walgreens Store #13790', 'VA,Wytheville,24382,Walgreens Store #17784']
VA    2022-05-17 05-27  -8        ['VA,Alexandria,22306,Walgreens Store #10233', 'VA,Ashburn,20148,Harris Teeter Pharmacy 09700284', 'VA,Charlottesville,22911,Walgreens Store #09417', 'VA,Henrico,23228,Kroger Pharmacy 02900519', 'VA,Lexington,24450,Lexington Prescription Center', 'VA,Midlothian,23112,Walgreens Store #06698', 'VA,Purcellville,20132,Walgreens Store #13682', 'VA,Virginia Beach,23464,Walgreens Store #09195']
VA    2022-05-18 05-40  +7        ['VA,Brookneal,24528,Brookneal Drug Co.', 'VA,Christiansburg,24073,Kroger Pharmacy 02900345', 'VA,Fairfax,22031,Inova Pharmacy Plus Isci', 'VA,Harrisonburg,22801,Walmart Pharmacy #1726', 'VA,Newport News,23601,Walgreens Store #05175', 'VA,Richmond,23220,Cvs Store #01530', 'VA,Salem,24153,Walgreens Store #07604']
VA    2022-05-18 05-40  -8        ['VA,Burke,22015,Walmart Pharmacy #5227', 'VA,Colonial Heights,23834,Walgreens Store #04921', 'VA,Fairfax,22030,Wegmans Food Markets Inc.', 'VA,Newport News,23601,Rite Aid 03851', 'VA,Quinton,23141,Walgreens Store #18196', 'VA,Richmond,23227,Omnicare Of Richmond #48370', 'VA,Richmond,23233,Walgreens Store #15344', 'VA,Stone Ridge,20105,Walgreens Store #09949']
WA    2021-12-29 09-02  +1        ['WA,Redmond,98052,Consonus Pharmacy Washington']
WA    2022-01-03 16-32  +10       ['WA,Bellingham,98226,Lummi Tribal Health Center', 'WA,Chelan,98816,Lake Chelan Community Hospital', 'WA,Chewelah,99109,Providence St Josephs Hospital', 'WA,Colville,99114,Providence Mount Carmel Hospital', 'WA,Newport,99156,Newport Community Hosptial', 'WA,Seattle,98122,Swedish Medical Center - First Hill', 'WA,Spokane,99208,Holy Family Hospital', 'WA,Vancouver,98686,Legacy Salmon Creek Hospital', 'WA,Wenatchee,98801,Wenatchee Valley Hospital And Clini', 'WA,Yakima,98902,Yakima Valley Memorial Hospital']
WA    2022-01-04 16-56  +11       ['WA,Bellingham,98225,Family Care Network Clinic', 'WA,Centralia,98531,Credena Health Pharmacy Centralia', 'WA,Centralia,98531,Doc Pharmacy Services', 'WA,Centralia,98531,Providence Centralia', 'WA,Everett,98201,Providence Regional Med Ctr Everett', 'WA,Olympia,98506,Credena Health Pharmacy Olympia', 'WA,Renton,98055,Valley Medical Center Hospital', 'WA,Richland,99352,Kadlec Regional Medical Center', 'WA,Seattle,98105,Seattle Childrens Hospital', 'WA,Seattle,98107,Swedish - Ballard', 'WA,Silverdale,98383,Kitsap General Surgery']
WA    2022-01-05 18-07  +10       ['WA,Ellensburg,98926,Kvh-Hospital', 'WA,Ephrata,98823,Columbia Basin Hospital', 'WA,Friday Harbor,98250,Peace Island Medical Center', 'WA,Grand Coulee,99133,Coulee Medical Center', 'WA,Morton,98356,Arbor Health Morton Hospital', 'WA,Oak Harbor,98277,Island Drug', 'WA,Odessa,99159,Odessa Memorial Health Center', 'WA,Ritzville,99169,East Adams Rural Hospital', 'WA,Sedro Woolley,98284,Peacehealth United General Medial C', 'WA,Walla Walla,99324,Walla Walla Urgent Care']
WA    2022-01-11 08-35  +6        ['WA,Fort Lewis,98431,Madigan Army Medical Center', 'WA,Moses Lake,98837,Moses Lake Community Health Center', 'WA,Seattle,98104,Ichs Intl Dist Med + Dent Clinic', 'WA,Seattle,98108,Sea Mar Chc - Seattle 8720 14Th Ave', 'WA,Seattle,98121,Downtown Public Health Center', 'WA,Seattle,98134,Uscg Base Seattle Medical']
WA    2022-01-13 10-07  +18       ['WA,Bellingham,98225,Peacehealth St Joseph Med Ctr', 'WA,Brewster,98812,Three Rivers Family Medicine', 'WA,Buckley,98321,Rainier School', 'WA,Coupeville,98239,Whidbey Health Medical Center/Pharm', 'WA,Edmonds,98026,Swedish Medical Center - Edmonds', 'WA,Everett,98201,Credena Health Pharmacy Everett', 'WA,Issaquah,98029,Swedish - Issaquah', 'WA,Kirkland,98034,Evergreen Hospital Med Ctr', 'WA,Mercer Island,98040,Lake Washington Internal Medicine', 'WA,Port Townsend,98368,Jefferson Healthcare', 'WA,Pullman,99163,Pullman Regional Hospital', 'WA,Pullman,99163,Sids Pharmacy', 'WA,Quincy,98848,Quincy Valley Medical Center', 'WA,Seattle,98122,Swedish - Cherry Hill', 'WA,Shelton,98584,Mason General Hosp Fam Of Clinics', 'WA,Spokane,99205,V20 668 Spokane, Wa', 'WA,Spokane,99218,Country Homes Nurse Practitioners', 'WA,Vancouver,98661,V20 648A4 Vancouver (Mis Hosp), Wa']
WA    2022-01-14 15-37  +21       ['WA,Aberdeen,98520,City Center Drug', 'WA,Colville,99114,Credena Health Pharmacy Colville', 'WA,Everett,98201,Pmg Nw Regional Medical Center Ever', 'WA,Fairchild Afb,99011,Fairchild Afb', 'WA,Fircrest,98466,Fircrest Pharmacy', 'WA,Forks,98331,Chinook Pharmacy', 'WA,Leavenworth,98826,Cascade Medical Family Practice', 'WA,Longview,98632,Kaiser Permanente Longview-Kelso', 'WA,Monroe,98272,Credena Health Pharmacy Monroe', 'WA,Mount Vernon,98274,Mv Svh Pharmacy', 'WA,Othello,99344,Othello Clinic', 'WA,Port Townsend,98368,Dons Pharmacy', 'WA,Republic,99166,Ferry County Public Hospital Distri', 'WA,Seattle,98104,Md2', 'WA,Seattle,98109,Seattle Cancer Care Alliance', 'WA,South Bend,98586,Willapa Harbor Hospital', 'WA,Spokane,99204,Credena Health Pharm Sacred Heart', 'WA,Tacoma,98418,Lincoln Pharmacy', 'WA,Vancouver,98684,Kaiser Permanente - Cascade Park', 'WA,Yakima,98901,Yakima Nbh Hlth Svcs - 8Th St Clin', 'WA,Yakima,98908,Summitview Urgent Care']
WA    2022-01-19 08-05  +12       ['WA,Anacortes,98221,Island Medical Center Pharmacy', 'WA,Cheney,99004,Cheney Owl Pharmacy', 'WA,Goldendale,98620,K C Pharmacy Inc', 'WA,Grand Coulee,99133,Coulee Owl Pharmacy', 'WA,Lakewood,98499,Advanced Familycare Medicine', 'WA,Medical Lake,99022,Eastern State Hospital', 'WA,Oroville,98844,Lakeside Pharmacy', 'WA,Seattle,98144,Seattle Indian Health Board', 'WA,Selah,98942,Yakima Valley School Pharmacy', 'WA,Shoreline,98155,Fircrest School', 'WA,Taholah,98587,Roger Saux Hc', 'WA,Tonasket,98855,Whitestone Pharmacy']
WA    2022-01-21 18-08  +2        ['WA,Clarkston,99403,Tri-State Memorial Hospital', 'WA,Pasco,99301,Tri-Cities Community Health']
WA    2022-01-25 09-23  +4        ['WA,Kingston,98346,Port Gamble Sklallam Tribe Ctr', 'WA,Omak,98841,Family Health Centers Omak', 'WA,Seattle,98118,Neighborcare Hlth At Rainier Beach', 'WA,Spokane,99206,Spokane Pharmerica Ltc']
WA    2022-01-25 09-23  -1        ['WA,Centralia,98531,Doc Pharmacy Services']
WA    2022-01-26 07-35  +2        ['WA,Cathlamet,98612,Hi-Schoolpharmacy 1148', 'WA,Stevenson,98648,Wind River Pharmacy']
WA    2022-01-26 07-35  -1        ['WA,Mercer Island,98040,Lake Washington Internal Medicine']
WA    2022-01-27 14-49  +11       ['WA,Arlington,98223,Cascade Valley Hospital', 'WA,Auburn,98092,Muckleshoot Health Wellness Center', 'WA,Dayton,99328,Columbia County Health System', 'WA,Montesano,98563,Pioneer Family Medicine', 'WA,Pomeroy,99347,Garfield County Memorial Hospital D', 'WA,Richland,99352,Rx Pharmacy', 'WA,Spokane Valley,99206,Village Pharmacy Services', 'WA,Spokane,99204,Providence Sacred Heart Medical Ctr', 'WA,Spokane,99208,Providence Holy Family Hospital', 'WA,Tonasket,98855,North Valley Hospital', 'WA,White Salmon,98672,Hi-Schoolpharmacy 3500']
WA    2022-01-27 14-49  -2        ['WA,Spokane,99204,Sacred Heart Medical Center', 'WA,Spokane,99208,Holy Family Hospital']
WA    2022-01-28 09-28  +7        ['WA,Monroe,98272,Providence Monroe Walk In Clinic', 'WA,Olympia,98513,Nisqually Tribal Health Center', 'WA,Richland,99352,Empowered Health Institute', 'WA,Toppenish,98948,Gibbons Pharmacy', 'WA,Tukwila,98168,Providence Oral Dose Pharmacy', 'WA,White Salmon,98672,Skyline Hospital', 'WA,Yakima,98902,River Village Pharmacy']
WA    2022-01-28 17-11  +6        ['WA,Auburn,98002,Healthpoint Auburn', 'WA,Bellingham,98229,Hoagland Pharmacy', 'WA,Brewster,98812,Three Rivers Hospital', 'WA,Elma,98541,Summit Pacific Healthcare Clinic', 'WA,Shelton,98584,Shelton Pharmacy', 'WA,Toppenish,98948,Yvfwc  Toppenish']
WA    2022-01-28 17-11  -1        ['WA,Brewster,98812,Three Rivers Family Medicine']
WA    2022-02-01 09-23  +3        ['WA,Port Orchard,98366,Washington Veterans Home', 'WA,Prosser,99350,Prosser Memorial Hospital', 'WA,Prosser,99350,Prosser Pharmacy']
WA    2022-02-02 09-09  +18       ['WA,Brewster,98812,Brewster Pharmacy', 'WA,Centralia,98531,Centralia Pharmacy', 'WA,Chewelah,99109,Valley Drug', 'WA,Cle Elum,98922,Cle Elum Pharmacy', 'WA,Dayton,99328,Elk Drug Inc', 'WA,Federal Way,98003,Angel Pharmacy', 'WA,Gig Harbor,98329,Purdy Costless Pharmacy', 'WA,Ilwaco,98624,Ilwaco Pharmacy', 'WA,Moses Lake,98837,Samaritan Healthcare', 'WA,Olympia,98506,Samys Drug Store', 'WA,Omak,98841,Omak Pharmacy', 'WA,Pomeroy,99347,Pomeroy Pharmacy Inc', 'WA,Seattle,98104,Easterns Pharmacy', 'WA,South Bend,98586,South Bend Pharmacy', 'WA,Spokane,99204,Multicare Deaconess Hospital', 'WA,Tenino,98589,Heddens Pharmacy', 'WA,Vancouver,98664,Square Care Medical And Pharmacy', 'WA,Yelm,98597,Tims Pharmacy And Gift Shop']
WA    2022-02-02 09-09  -7        ['WA,Bellingham,98225,Peacehealth St Joseph Med Ctr', 'WA,Edmonds,98026,Swedish Medical Center - Edmonds', 'WA,Ellensburg,98926,Kvh-Hospital', 'WA,Everett,98201,Providence Regional Med Ctr Everett', 'WA,Seattle,98133,Uw Medical Center', 'WA,Spokane Valley,99206,Village Pharmacy Services', 'WA,Tukwila,98168,Providence Oral Dose Pharmacy']
WA    2022-02-04 09-14  +5        ['WA,Bellingham,98229,Hoagland Pharmacy - Ltc', 'WA,Ellensburg,98926,Kvh-Hospital', 'WA,Elma,98541,Elma Pharmacy', 'WA,Spokane Valley,99206,Village Pharmacy Services', 'WA,Tukwila,98168,Providence Oral Dose Pharmacy']
WA    2022-02-04 09-14  -2        ['WA,Bellingham,98229,Hoagland Pharmacy', 'WA,Seattle,98122,Swedish Medical Center - First Hill']
WA    2022-02-07 09-54  +2        ['WA,Seattle,98122,Swedish Medical Center - First Hill', 'WA,Wellpinit,99040,Wellpinit Service Unit']
WA    2022-02-09 09-41  +24       ['WA,Coupeville,98239,Whidbey Health Medical Center', 'WA,Edmonds,98026,Swedish Medical Center - Edmonds', 'WA,Ellensburg,98926,Comm Hlth Of Central Wa-Ellensburg', 'WA,Hoquiam,98550,Harbor Drug', 'WA,Kenmore,98028,Ostroms Drug And Gift', 'WA,Kent,98032,King County Mrjc- Pharmacy', 'WA,Kettle Falls,99141,Kettle Falls Pharmacy', 'WA,Long Beach,98631,Long Beach Pharmacy', 'WA,Mccleary,98557,Mccleary Pharmacy', 'WA,Montesano,98563,Valu Drug', 'WA,Mount Vernon,98274,Skagit Regional Health', 'WA,Newport,99156,Newport Hospital And Health', 'WA,Nine Mile Falls,99026,Suncrest Pharmacy', 'WA,Ocean Park,98640,Ocean Park Pharmacy', 'WA,Odessa,99159,Odessa Drug', 'WA,Pasco,99301,West Pasco Pharmacy', 'WA,Raymond,98577,Raymond Pharmacy', 'WA,Redmond,98052,Overlake Pharmacy Llc', 'WA,Seattle,98104,King County Correctional Facility', 'WA,Seattle,98122,Credena Health Pharmacy First Hill', 'WA,Spokane,99204,Sixth Avenue Pharmacy', 'WA,Spokane,99205,Riverpoint Pharmacy', 'WA,Waterville,98858,Confluence Hlth-Waterville Clinic', 'WA,Yakima,98902,Central Wa Family Medicine']
WA    2022-02-09 09-41  -4        ['WA,Coupeville,98239,Whidbey Health Medical Center/Pharm', 'WA,Elma,98541,Summit Pacific Healthcare Clinic', 'WA,Mount Vernon,98274,Mv Svh Pharmacy', 'WA,Newport,99156,Newport Community Hosptial']
WA    2022-02-10 21-04  +2        ['WA,Elma,98541,East County Pharmacy', 'WA,Vashon,98070,Vashon Pharmacy']
WA    2022-02-10 21-04  -65       ['WA,Aberdeen,98520,City Center Drug', 'WA,Anacortes,98221,Island Medical Center Pharmacy', 'WA,Auburn,98002,Healthpoint Auburn', 'WA,Auburn,98092,Muckleshoot Health Wellness Center', 'WA,Brewster,98812,Brewster Pharmacy', 'WA,Brewster,98812,Three Rivers Hospital', 'WA,Centralia,98531,Centralia Pharmacy', 'WA,Clarkston,99403,Tri-State Memorial Hospital', 'WA,Cle Elum,98922,Cle Elum Pharmacy', 'WA,Coupeville,98239,Whidbey Health Medical Center', 'WA,Dayton,99328,Columbia County Health System', 'WA,Dayton,99328,Elk Drug Inc', 'WA,Ellensburg,98926,Comm Hlth Of Central Wa-Ellensburg', 'WA,Fairchild Afb,99011,Fairchild Afb', 'WA,Fircrest,98466,Fircrest Pharmacy', 'WA,Forks,98331,Chinook Pharmacy', 'WA,Fort Lewis,98431,Madigan Army Medical Center', 'WA,Hoquiam,98550,Harbor Drug', 'WA,Kenmore,98028,Ostroms Drug And Gift', 'WA,Kent,98032,King County Mrjc- Pharmacy', 'WA,Kingston,98346,Port Gamble Sklallam Tribe Ctr', 'WA,Leavenworth,98826,Cascade Medical Family Practice', 'WA,Long Beach,98631,Long Beach Pharmacy', 'WA,Mccleary,98557,Mccleary Pharmacy', 'WA,Monroe,98272,Providence Monroe Walk In Clinic', 'WA,Montesano,98563,Pioneer Family Medicine', 'WA,Moses Lake,98837,Samaritan Healthcare', 'WA,Nine Mile Falls,99026,Suncrest Pharmacy', 'WA,Ocean Park,98640,Ocean Park Pharmacy', 'WA,Odessa,99159,Odessa Drug', 'WA,Olympia,98506,Samys Drug Store', 'WA,Omak,98841,Omak Pharmacy', 'WA,Pasco,99301,West Pasco Pharmacy', 'WA,Pomeroy,99347,Garfield County Memorial Hospital D', 'WA,Pomeroy,99347,Pomeroy Pharmacy Inc', 'WA,Port Orchard,98366,Washington Veterans Home', 'WA,Port Townsend,98368,Dons Pharmacy', 'WA,Prosser,99350,Prosser Pharmacy', 'WA,Pullman,99163,Sids Pharmacy', 'WA,Quincy,98848,Quincy Valley Medical Center', 'WA,Raymond,98577,Raymond Pharmacy', 'WA,Seattle,98104,Easterns Pharmacy', 'WA,Seattle,98104,King County Correctional Facility', 'WA,Seattle,98108,Sea Mar Chc - Seattle 8720 14Th Ave', 'WA,Seattle,98109,Seattle Cancer Care Alliance', 'WA,Seattle,98121,Downtown Public Health Center', 'WA,Seattle,98134,Uscg Base Seattle Medical', 'WA,Selah,98942,Yakima Valley School Pharmacy', 'WA,Shelton,98584,Shelton Pharmacy', 'WA,South Bend,98586,Willapa Harbor Hospital', 'WA,Spokane,99202,Multicare Rockwood Clinic Pharmacy', 'WA,Spokane,99204,Multicare Deaconess Hospital', 'WA,Spokane,99204,Sixth Avenue Pharmacy', 'WA,Spokane,99205,Riverpoint Pharmacy', 'WA,Spokane,99205,V20 668 Spokane, Wa', 'WA,Spokane,99206,Spokane Pharmerica Ltc', 'WA,Tacoma,98405,Multicare Med Ctr Ed Pharm.', 'WA,Tacoma,98405,Vmfh Sjmc - Tacoma', 'WA,Tenino,98589,Heddens Pharmacy', 'WA,Tonasket,98855,North Valley Hospital', 'WA,Vancouver,98661,V20 648A4 Vancouver (Mis Hosp), Wa', 'WA,Wellpinit,99040,Wellpinit Service Unit', 'WA,Yakima,98902,Central Wa Family Medicine', 'WA,Yakima,98902,Yakima Valley Memorial Hospital', 'WA,Yelm,98597,Tims Pharmacy And Gift Shop']
WA    2022-02-14 09-23  +6        ['WA,Auburn,98092,Muckleshoot Health Wellness Center', 'WA,Bellevue,98006,Rheumatology And Autoimmune Center', 'WA,Goldendale,98620,Klickitat Valley Health', 'WA,Mccleary,98557,Mccleary Pharmacy', 'WA,Raymond,98577,Raymond Pharmacy', 'WA,Renton,98057,South Sound Cancer Services']
WA    2022-02-14 09-23  -1        ['WA,Yakima,98908,Summitview Urgent Care']
WA    2022-02-16 08-11  +4        ['WA,Pasco,99301,West Pasco Pharmacy', 'WA,Seattle,98133,Uw Medical Center', 'WA,South Bend,98586,Willapa Harbor Hospital', 'WA,Yakima,98908,Summitview Urgent Care']
WA    2022-02-16 08-23  +11       ['WA,Aberdeen,98520,City Center Drug', 'WA,Anacortes,98221,Island Medical Center Pharmacy', 'WA,Brewster,98812,Brewster Pharmacy', 'WA,Centralia,98531,Centralia Pharmacy', 'WA,Colville,99114,Ne Tri-County Health Dept', 'WA,Forks,98331,Chinook Pharmacy', 'WA,Kenmore,98028,Ostroms Drug And Gift', 'WA,Leavenworth,98826,Cascade Medical Family Practice', 'WA,Spokane,99207,Omnicare Of Spokane #48375', 'WA,Walla Walla,99362,Tallmans Pharmacy', 'WA,Yakima,98902,Central Wa Family Medicine']
