provider_name,address1,address2,city,state,zip,last_report_date,public_website,phone_number,geopoint
CVS Store #04029,1181 FREEDOM RD.,CVS Pharmacy,Cranberry Township,PA,16066,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.12451 40.682605)
CVS Store #01296,5001 TOWNSHIP LINE ROAD,CVS Pharmacy,Drexel Hill,PA,19026,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-75.321981 39.95616)
CVS Store #00791,920 BETHLEHEM PIKE,CVS Pharmacy,Erdenheim,PA,19038,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-75.212256 40.09771)
CVS Store #02687,105 E. UWCHLAN AVE.,CVS Pharmacy,Exton,PA,19341,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-75.654 40.06089)
CVS Store #00295,504 S OXFORD VALLEY RD,CVS Pharmacy,Fairless Hills,PA,19030,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-74.85105 40.16933)
CVS Store #02867,1937 MACDADE BLVD,CVS Pharmacy,Folsom,PA,19033,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-75.3176 39.89743)
CENTERVILLE CLC J YABLONSKI MEM CLC,1070 Old National Pike,,Fredericktown,PA,15333,2022-06-27T00:00:00.000,http://www.centervilleclinics.com,724-632-6801,POINT (-79.98184 40.04803)
CVS Store #08979,550 NORTH PROGRESS AVE.,CVS Pharmacy,Harrisburg,PA,17109,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.84682 40.29854)
CVS Store #04000,2501 WARREN RD,CVS Pharmacy,Indiana,PA,15701,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-79.189235 40.60972)
CVS Store #01193,835 OLD YORK RD.,CVS Pharmacy,Jenkintown,PA,19046,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-75.123695 40.106035)
CVS Store #01074,870 E. BALTIMORE PIKE,CVS Pharmacy,Kennett Square,PA,19348,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-75.68012 39.86218)
CVS Store #02481,312 SOUTH HENDERSON RD,CVS Pharmacy,King Of Prussia,PA,19406,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-75.35852 40.09152)
CVS Store #01671,1507 LITITZ PIKE,CVS Pharmacy,Lancaster,PA,17601,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.306205 40.064535)
CVS Store #01379,840 VALLEY FORGE RD.,CVS Pharmacy,Lansdale,PA,19446,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-75.30322 40.24122)
CVS Store #02296,3295 PA ROUTE 100,CVS Pharmacy,Macungie,PA,18062,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-75.5662 40.51962)
CVS Store #00258,5703 STEUBENVILLE PIKE,CVS Pharmacy,Mckees Rocks,PA,15136,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.13419 40.451435)
CVS Store #05101,3870 WASHINGTON RD.,CVS Pharmacy,Mcmurray,PA,15317,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.1284 40.27309)
CVS Store #01639,105 S. SPORTING HILL RD.,CVS Pharmacy,Mechanicsburg,PA,17050,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.97192 40.23617)
CVS Store #05890,3893 WILLIAM PENN HWY,CVS Pharmacy,Monroeville,PA,15146,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-79.77942 40.43753)
CVS Store #05094,328 COCHRAN RD.,CVS Pharmacy,Mount Lebanon,PA,15228,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.051975 40.38249)
CVS Store #06916,560 OLD YORK ROAD,CVS Pharmacy,New Cumberland,PA,17070,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.83576 40.186)
CVS Store #05447,200 S. LINCOLN AVE,CVS Pharmacy,Newtown,PA,18940,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-74.93244 40.22552)
CVS Store #00233,3930 WEST CHESTER PIKE,CVS Pharmacy,Newtown Square,PA,19073,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-75.41321 39.98569)
NORRISTOWN REGIONAL HEALTH CENTER,1401 DeKalb Pike,,Norristown,PA,19401,2022-07-08T00:00:00.000,https://dvch.org,610-278-7787,POINT (-75.333841 40.123645)
CVS Store #00399,1776 EAST LANCASTER AVENUE,CVS Pharmacy,Paoli,PA,19301,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-75.47426 40.04174)
CVS Store #01545,1500 SPRUCE STREET,CVS Pharmacy,Philadelphia,PA,19102,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-75.16676 39.94692)
PHILADELPHIA FIGHT J LAX TREAT CTR,"1233 Locust St, 5th floor",,Philadelphia,PA,19107,2022-07-08T00:00:00.000,http://www.fight.org,215-790-1788,POINT (-75.16164 39.94794)
CVS Store #00740,10901C BUSTLETON AVENUE,CVS Pharmacy,Philadelphia,PA,19116,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-75.02327 40.111875)
CVS Store #08984,6701 RIDGE AVE.,CVS Pharmacy,Philadelphia,PA,19128,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-75.22369 40.04084)
FPCN- 4700 WISSAHICKON AVE,4700 Wissahickon Ave Building D,Suite 119,Philadelphia,PA,19144,2022-07-11T00:00:00.000,http://www.rhd.org,215-843-9720,POINT (-75.17404 40.01539)
CVS Store #00371,6501 HARBISON AVENUE,CVS Pharmacy,Philadelphia,PA,19149,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-75.06338 40.034795)
EAST LIBERTY FAM HLTH CARE CTREL,7157 Mary Peck Bond Place,,Pittsburgh,PA,15206,2022-07-15T00:00:00.000,http://www.elfhcc.com,412-661-2802,POINT (-79.89287 40.47188)
NORTH SIDE CHRISTIAN HLTH CTR,816 Middle Street,,Pittsburgh,PA,15212,2022-07-15T00:00:00.000,http://www.nschc.org,412-321-4001,POINT (-79.99941 40.455225)
CVS Store #04369,4610 CENTRE AVE.,CVS Pharmacy,Pittsburgh,PA,15213,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-79.95154 40.45185)
CVS Store #10034,611 DUNCAN AVE.,CVS Pharmacy,Pittsburgh,PA,15237,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.02331 40.567815)
CVS Store #10825,2400 BUTLER PIKE,CVS Pharmacy,Plymouth Meeting,PA,19462,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-75.27292 40.10972)
CVS Store #00813,1034 SECOND STREET PIKE,CVS Pharmacy,Richboro,PA,18954,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-75.01151 40.21646)
CVS Store #02582,795 BALTIMORE PIKE,CVS Pharmacy,Springfield,PA,19064,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-75.33269 39.916625)
CVS Store #07132,3015 E. LINCOLN HIGHWAY,CVS Pharmacy,Thorndale,PA,19372,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-75.76408 39.99359)
CVS Store #01159,760 MILES RD.,CVS Pharmacy,West Chester,PA,19380,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-75.62852 39.96386)
SUSQUEHANNA COMM HLTH  DENT CLINIC,471 Hepburn Street,,Williamsport,PA,17701,2022-07-11T00:00:00.000,http://www.aimhealthy.org,570-567-5400,POINT (-77.0079 41.24237)
CVS Store #01657,2080 S. QUEEN ST.,CVS Pharmacy,York,PA,17403,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.693255 39.93589)
CVS Store #07259,1206 N. GRAVEL PIKE,CVS Pharmacy,Zieglersville,PA,19492,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-75.48176 40.27418)
"CAMUY HEALTH SERVICES, INC.",63 AVE MUNOZ RIVERA,,Camuy,PR,00627,2022-07-12T00:00:00.000,http://www.camuyhealthservicesinc.com,787-898-2290,POINT (-66.843923 18.483877)
PRYMED MED CARE INC,13 Carr 149,,Ciales,PR,00638,2022-07-11T00:00:00.000,,787-871-0601,POINT (-66.47 18.36)
CENTRO DE SALUD INTEGRAL EN COMERIO,18 CALLE GEORGETTI,,Comerio,PR,00782,2022-06-15T00:00:00.000,http://www.simpr.com,787-875-3375,POINT (-66.2229 18.22309)
MED CENTRO PONCE MAIN SITE,1034 AVE. Hostos,Med Centro Edificio 2,Ponce,PR,00716,2022-07-11T00:00:00.000,http://www.medcentro.org,787-843-9393,POINT (-66.62796 18.0175)
COSTA SALUD COMM HLTH CTRS RINCON,28 Calle Munoz Rivera W,,Rincon,PR,00677,2022-07-14T00:00:00.000,,787-823-5555 x224,POINT (-67.24937 18.34499)
HLTHPROMED,2020 AVenida Borinquen,San Juan,San Juan,PR,00915,2022-07-05T00:00:00.000,http://healthpromed.org,787-268-4171,POINT (-66.056155 18.437761)
CVS Store #00212,681 RESERVOIR AVENUE,CVS Pharmacy,Cranston,RI,02910,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.442935 41.780965)
CVS Store #05107,1285 S. COUNTY TRAIL,CVS Pharmacy,East Greenwich,RI,02818,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.49831 41.66143)
WOOD RIVER HLTH SERVICES INC,823 Main St,,Hope Valley,RI,02832,2022-07-15T00:00:00.000,http://www.woodriverhealthservices.org,401-539-2461,POINT (-71.73656 41.48978)
EAST BAY FAM HLTH CTR,6 John H Chafee Blvd,,Newport,RI,02840,2022-07-12T00:00:00.000,http://www.ebcap.org,401-848-2160,POINT (-71.31226 41.51698)
CVS Store #00326,120 EDDIE DOWLING HWY.,CVS Pharmacy,North Smithfield,RI,02896,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.51223 41.9802)
PRAIRIE HEALTH CENTER,One Warren Way,,Providence,RI,02905,2022-06-28T00:00:00.000,http://www.providencechc.org,401-444-0530 x3368,POINT (-71.4019296774194 41.80275)
CVS Store #00729,799 HOPE STREET,CVS Pharmacy,Providence,RI,02906,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.39465 41.84901)
Clinica Esperenza,85 Eagle St,Neighborhood Health Station,Providence,RI,02909,2022-07-06T00:00:00.000,,,POINT (-71.43564 41.82481)
CVS Store #02065,11 MAIN ST.,CVS Pharmacy,Wakefield,RI,02879,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.489495 41.441835)
CVS Store #01544,151 FRANKLIN ST.,CVS Pharmacy,Westerly,RI,02891,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.80858 41.357)
CVS Store #00590,1054 CASS AVENUE,CVS Pharmacy,Woonsocket,RI,02895,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.479955 42.004605)
THUNDERMIST WOONSOCKET,450 Clinton St,,Woonsocket,RI,02895,2022-07-15T00:00:00.000,http://www.thundermisthealth.org,401-767-4100,POINT (-71.50645 42.0072)
CLYBURN CTR FOR PRIMARY CARE,1000 Clyburn Pl,,Aiken,SC,29801,2022-07-15T00:00:00.000,,803-380-7000,POINT (-81.71237 33.57314)
FAMILY PHARMACY,333 NEWBERRY ST NW,,Aiken,SC,29801,2022-07-13T00:00:00.000,,,POINT (-81.71877 33.56605)
CVS STORE #04295,2062 WHISKEY ROAD,CVS Pharmacy,Aiken,SC,29803,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.71575 33.51763)
FAMILY PHARMACY SOUTH AIKEN,110 PRICE AVE,,Aiken,SC,29803,2022-07-13T00:00:00.000,,,POINT (-81.72288 33.53103)
CVS STORE #03838,1405 EAST GREENVILLE STREET,CVS Pharmacy,Anderson,SC,29621,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-82.63747 34.5268)
CVS STORE #04489,1006 FORDING ISLAND ROAD,CVS Pharmacy,Bluffton,SC,29910,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.850795 32.25704)
CVS STORE #07567,1888 BOILING SPRINGS ROAD,CVS Pharmacy,Boiling Springs,SC,29316,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.96019 35.01657)
CVS STORE #01039,59 GEORGE ST.,CVS Pharmacy,Charleston,SC,29401,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-79.936215 32.783495)
CHARLESTON FAMILY HEALTH CENTER,51 Nassau St,,Charleston,SC,29403,2022-07-16T00:00:00.000,http://www.fetterhealthcare.org,843-722-4112,POINT (-79.9386 32.79392)
CVS STORE #02243,2566 ASHELY RIVER ROAD RTE 21,CVS Pharmacy,Charleston,SC,29414,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.04326 32.83186)
CVS STORE #04026,1300 TIGER BLVD.,CVS Pharmacy,Clemson,SC,29631,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-82.82614 34.68901)
CVS STORE #05550,4724 CHARLOTTE HWY.,CVS Pharmacy,Clover,SC,29710,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.06448 35.11578)
CVS STORE #00830,900 ASSEMBLY ST.,CVS Pharmacy,Columbia,SC,29201,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.033015 33.99722)
CVS STORE #02250,121 CLEMSON RD,CVS Pharmacy,Columbia,SC,29229,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.855755 34.099715)
CVS STORE #02269,4310 HARDSCRABBLE ROAD,CVS Pharmacy,Columbia,SC,29229,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.91369 34.14025)
CARETEAM FAM HLTH SPECIALTY CARE,100 Professional Park Dr,,Conway,SC,29526,2022-07-15T00:00:00.000,http://careteamplus.org,843-234-0005,POINT (-79.012045 33.78165)
CVS STORE #07654,2996 E. HWY 501,CVS Pharmacy,Conway,SC,29526,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-78.98427 33.77535)
Pee Dee Hlth Care,201 Cashua Street,,Darlington,SC,29532,2022-06-13T00:00:00.000,,,POINT (-79.869126 34.305115)
CVS STORE #04286,5269 CALHOUN MEMORIAL HWY,CVS Pharmacy,Easley,SC,29640,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-82.562445 34.824965)
HOPEHEALTH IRBY STREET,360 N IRBY ST,,Florence,SC,29501,2022-07-15T00:00:00.000,,843-667-9414,POINT (-79.76757 34.202125)
CVS STORE #01571,1740 HWY 160 WEST,CVS Pharmacy,Fort Mill,SC,29708,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.97013 35.03388)
New Horizon Family Health Services,975 W FARIS RD,,Greenville,SC,29605,2022-07-12T00:00:00.000,,,POINT (-82.414315 34.815875)
CVS STORE #02246,2210 LAURENS ROAD,CVS Pharmacy,Greenville,SC,29607,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-82.352745 34.834685)
CVS STORE #07397,3901 PELHAM RD.,CVS Pharmacy,Greenville,SC,29615,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-82.26355 34.8598)
CSC HARTSVILLE CTR,1268 S 4th St,,Hartsville,SC,29550,2022-07-11T00:00:00.000,http://www.caresouth-carolina.com,843-332-3422,POINT (-80.061115 34.357245)
CVS STORE #05566,10 POPE AVENUE,CVS Pharmacy,Hilton Head Island,SC,29928,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.761842 32.15335)
CVS STORE #05479,7697 CHARLOTTE HWY,CVS Pharmacy,Indian Land,SC,29707,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.836765 34.935505)
CVS STORE #05549,1008 LAKE MURRAY BOULEVARD,CVS Pharmacy,Irmo,SC,29063,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.174575 34.0899)
CVS STORE #07012,1330 DUTCH FORK RD.,CVS Pharmacy,Irmo,SC,29063,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.236115 34.124905)
CVS STORE #07005,333 HWY 9 BYPASS,CVS Pharmacy,Lancaster,SC,29720,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.74286 34.71393)
PLEXUS HEALTH LANCASTER,838 W MEETING STREET,Medical Arts 5 Ste H,Lancaster,SC,29720,2022-07-15T00:00:00.000,http://www.plexushealth.com,803-285-2273,POINT (-80.78773 34.71693)
CVS STORE #02497,2373 AUGUSTA HWY,CVS Pharmacy,Lexington,SC,29072,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.30254 33.979305)
CVS STORE #07334,5608 SUNSET BLVD.,CVS Pharmacy,Lexington,SC,29072,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.227565 33.99429)
CVS STORE #05471,1071 S. LAKE DR.,CVS Pharmacy,Lexington,SC,29073,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.23275 33.95333)
LITTLE RIVER MED CTR INC MAIN SITE,4303 Live Oak Drive,Attn:  LRMC Pharmacy Department,Little River,SC,29566,2022-07-05T00:00:00.000,http://www.lrmcenter.com,843-663-8024,POINT (-78.598615 33.883285)
CVS STORE #02194,224 EAST BUTLER ROAD,CVS Pharmacy,Mauldin,SC,29662,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-82.2962 34.784025)
CVS STORE #07061,5895 REIDVILLE RD.,CVS Pharmacy,Moore,SC,29369,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-82.06623 34.8864)
CVS STORE #04263,1676 NORTH HIGHWAY 17,CVS Pharmacy,Mount Pleasant,SC,29464,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-79.8401 32.82446)
CVS STORE #02736,3710 HIGHWAY 17 BYPASS,CVS Pharmacy,Murrells Inlet,SC,29576,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-79.03469 33.56807)
CVS STORE #05516,1303 38TH AVE. N.,CVS Pharmacy,Myrtle Beach,SC,29577,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-78.86971 33.72756)
CVS STORE #01540,3411 SOCASTEE BLVD.,CVS Pharmacy,Myrtle Beach,SC,29588,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-78.96102 33.68479)
CVS STORE #05575,101 EDGEFIELD RD.,CVS Pharmacy,North Augusta,SC,29841,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.95373 33.52181)
CVS STORE #00626,8995 UNIVERSITY BLVD,CVS Pharmacy,North Charleston,SC,29406,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.06244 32.97475)
CVS STORE #07537,5215 ASHLEY PHOSPHATE RD.,CVS Pharmacy,North Charleston,SC,29418,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.10658 32.91416)
CVS STORE #07396,1010 HWY 17 NORTH,CVS Pharmacy,North Myrtle Beach,SC,29582,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-78.88019 33.695145)
RUTH P FIELD MED CTR,719 Okatie Hwy,,Okatie,SC,29909,2022-07-05T00:00:00.000,http://www.bjhchs.org,843-987-7400,POINT (-80.87176 32.36027)
FAM HLTH CTRS INC,3310 Magnolia St,,Orangeburg,SC,29115,2022-06-10T00:00:00.000,http://www.myfhc.org,803-531-8951,POINT (-80.83853 33.52864)
CVS STORE #07016,10317 OCEAN HIGHWAY 17 SOUTH,CVS Pharmacy,Pawleys Island,SC,29585,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-79.13062 33.43835)
CVS STORE #04288,2707 CELANESE RD.,CVS Pharmacy,Rock Hill,SC,29732,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.026975 34.975545)
SHAW AFB,420 Polifka Dr,Bdlg 1042,Shaw Afb,SC,29152,2022-06-08T00:00:00.000,,,POINT (-80.48774 33.96993)
CVS STORE #02192,698 FAIRVIEW ROAD,CVS Pharmacy,Simpsonville,SC,29680,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-82.25853 34.70525)
CVS STORE #02242,2580 WOODRUFF ROAD,CVS Pharmacy,Simpsonville,SC,29681,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-82.233355 34.806455)
CVS STORE #04382,1751 EAST MAIN STREET,CVS Pharmacy,Spartanburg,SC,29307,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-82.09358 34.90073)
CVS STORE #03113,1602 CENTRAL AVE.,CVS Pharmacy,Summerville,SC,29483,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.238595 33.01207)
CVS STORE #04204,301 N MAIN ST,CVS Pharmacy,Summerville,SC,29483,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-80.172105 33.02279)
CVS STORE #04122,3300 WADE HAMPTON BOULEVARD,CVS Pharmacy,Taylors,SC,29687,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-82.316325 34.91635)
CVS STORE #03888,200 HIGHWAY 25 NORTH,CVS Pharmacy,Travelers Rest,SC,29690,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-82.42933 34.9668)
CVS STORE #07556,2401 SUNSET BOULEVARD,CVS Pharmacy,West Columbia,SC,29169,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-81.106135 34.002215)
PINE RIDGE HOSPITAL,607 Indian Health Road,,Pine Ridge,SD,57770,,,,POINT (-102.57193 43.02045)
CVS Store #06431,2788 MURFREESBORO PIKE,CVS Pharmacy,Antioch,TN,37013,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-86.63125 36.068055)
KROGER PHARMACY 02500440,9025 US HIGHWAY 64,,Arlington,TN,38002,2022-07-14T00:00:00.000,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-89.63933 35.209575)
KROGER PHARMACY 02500463,11635 HWY 70,,Arlington,TN,38002,2022-07-14T00:00:00.000,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-89.674015 35.293045)
KROGER PHARMACY 02500433,11630 HIGHWAY 51 S,,Atoka,TN,38004,2022-07-14T00:00:00.000,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-89.790727 35.44091)
CVS STORE #07144,6670 STAGE RD,CVS Pharmacy,Bartlett,TN,38134,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-89.841335 35.205255)
WALGREENS STORE #04346,7601 HIGHWAY 70 S,,Bellevue,TN,37221,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-7601+highway+s-bellevue-tn-37221/id=4346,,POINT (-86.934888 36.108724)
CVS Store #06394,"330 FRANKLIN ROAD, SUITE 302",CVS Pharmacy,Brentwood,TN,37027,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-86.790298 36.025035)
KROGER PHARMACY 02600589,6690 NOLENSVILLE RD,,Brentwood,TN,37027,2022-07-14T00:00:00.000,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-86.691235 35.999825)
KROGER PHARMACY 02600596,210 FRANKLIN RD,STE 100A,Brentwood,TN,37027,2022-07-14T00:00:00.000,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-86.78737 36.03186)
PHYSICIANS URGENT CARE,"700 Old Hickory Blvd, Ste 207",,Brentwood,TN,37027,2022-07-05T00:00:00.000,,,POINT (-86.76825 36.04176)
VANDERBILT HTH WLK IN CLIN BRENTWD,"134 Pewitt Dr, Ste 200",Attn: Pharmacy Staff,Brentwood,TN,37027,2022-07-15T00:00:00.000,,,POINT (-86.78665 36.034805)
Homeless Health Care Center,730 E 11TH ST,,Chattanooga,TN,37403,2022-07-14T00:00:00.000,,,POINT (-85.29985 35.04003)
MEMORIAL PHARMACY,2525 DeSales Ave,Outpatient Pharmacy Dept,Chattanooga,TN,37404,2022-07-15T00:00:00.000,,,POINT (-85.26051 35.04165)
CVS Store #05687,"1301 DORCHESTER RD., SUITE 117",CVS Pharmacy,Chattanooga,TN,37405,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-85.288703 35.06917)
CVS Store #03782,6802 LEE HWY.,CVS Pharmacy,Chattanooga,TN,37421,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-85.168505 35.04059)
CVS Store #05665,"8034 E. BRAINERD RD.,",CVS Pharmacy,Chattanooga,TN,37421,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-85.150407 35.0038)
WALGREENS STORE #04313,1954 MADISON ST,,Clarksville,TN,37043,2022-07-14T00:00:00.000,https://www.walgreens.com/locator/walgreens-1954+madison+st-clarksville-tn-37043/id=4313,,POINT (-87.29514 36.51319)
CVS Store #03206,2424 N OCOEE ST.,CVS Pharmacy,Cleveland,TN,37311,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-84.86445 35.17793)
"Bethesda Clinic, LLC",124 Main St.,,Clifton,TN,38425,2022-07-14T00:00:00.000,,,POINT (-87.995232 35.386435)
KROGER PHARMACY 02500387,240 NEW BYHALIA RD,,Collierville,TN,38017,2022-07-14T00:00:00.000,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-89.68866 35.04759)
KROGER PHARMACY 02500481,3685 S HOUSTON LEVEE RD,,Collierville,TN,38017,2022-07-14T00:00:00.000,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-89.7328 35.04756)
CVS Store #06413,1300 TROTWOOD AVE.,CVS Pharmacy,Columbia,TN,38401,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-87.06808 35.604575)
PUTNAM COUNTY HEALTH DEPARTMENT,701 County Services Drive,,Cookeville,TN,38501,2022-07-14T00:00:00.000,,,POINT (-85.5233 36.14883)
CVS Store #06628,786 N. GERMANTOWN PKWY.,CVS Pharmacy,Cordova,TN,38018,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-89.79494 35.14637)
KROGER PHARMACY 02500410,676 N GERMANTOWN PKWY,,Cordova,TN,38018,2022-07-14T00:00:00.000,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-89.793 35.14335)
"R SHANE ROBERTS, MD",398 N Main St,,Decatur,TN,37322,,,,POINT (-84.787864 35.51976)
KROGER PHARMACY 02600523,143 HENSLEE DR,STE 1,Dickson,TN,37055,2022-07-14T00:00:00.000,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-87.37073 36.075108)
CVS Store #05639,11946 KINGSTON PIKE,CVS Pharmacy,Farragut,TN,37934,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-84.1809 35.87119)
KROGER PHARMACY 02600686,189 BROOKLAWN ST,,Farragut,TN,37934,2022-07-14T00:00:00.000,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-84.15664 35.88028)
